Tree_num,Species,Sect,DBH,OG,Condition,Notes,2024 Cond,BB Pitch Tubes,2024 Notes
100,PIPO,1,30.3,,1,,,,
201,PIPO,1,28.4,Y,1,,,,
202,PIPO,1,37.4,Y,1,,,,
203,PIPO,1,53.6,Y,1,,,,
204,PIPO,1,34.5,Y,1,,,,
205,PIPO,1,35.4,,1,,,,
206,PIST,1,21.8,,1,,,,
207,PIPO,1,21,,1,,,,
208,PIPO,1,9.5,,1,,,,
209,PIPO,1,21.5,,1,,,,
210,PIPO,1,54.8,Y,1,,,,
211,PIPO,1,56.9,Y,1,,,,
212,PIPO,1,26.5,,1,,,,
213,PIPO,1,21.9,,1,,,,
214,PIPO,1,20,,1,,,,
215,PIPO,1,37.4,,1,,,,
216,PSME,1,33.8,,1,,,,
217,PIPO,1,51.1,Y,5,,,,
218,PIPO,1,50.1,Y,5,,,,
219,PIPO,1,28.9,,1,thin canopy,,,
220,QUGA,1,2.7,,1,,,,
221,QUGA,1,2.3,,5,,,,
222,QUGA,1,2.1,,5,,,,
223,QUGA,1,2.4,,5,,,,
30,PIPO,1,28.4,,1,,,,
31,PIST,1,29,,1,,,,
32,PIST,1,25.4,,1,,,,
33,PIPO,1,72.2,Y,1,,,,
34,PIST,1,26.8,,1,,,,
35,PIST,1,21,,5,,,,
36,PIPO,1,64,Y,1,,,,
37,PIPO,1,44.3,Y,1,,,,
38,PIPO,1,62,Y,1,,,,
39,PIPO,1,39.4,,1,,,,
40,PIST,1,30.9,,5,,,,
41,PIPO,1,30.9,,1,,,,
42,PIPO,1,37.6,Y,1,,,,
43,PIPO,1,26,,1,,,,
44,PIPO,1,34.3,,1,,,,
45,PIPO,1,31.8,,1,,,,
46,PIPO,1,58,Y,1,,,,
47,PIPO,1,39.9,Y,1,,,,
48,PIPO,1,60.9,Y,1,,,,
49,PIPO,1,19.8,Y,1,,,,
50,PIPO,1,29.3,,1,,,,
51,PIPO,1,33.5,,1,,,,
52,PIPO,1,24,Y,1,,,,
53,PSME,1,33,,1,,,,
54,PIPO,1,21.8,Y,1,,,,
87,PIPO,1,49.6,Y,5,,,,
88,PIPO,1,37.3,,1,,,,
89,PIPO,1,58.7,Y,1,,,,
90,PIST,1,21.9,,1,yellow needles (tips?),,,
91,PIST,1,22.6,,1,yellow needles (tips?),,,
92,PSME,1,30.6,,1,,,,
93,PIPO,1,51.5,Y,1,,,,
94,PSME,1,42.4,,1,,,,
95,PIPO,1,34,Y,1,,,,
96,PIST,1,22.6,,1,,,,
97,PSME,1,42.7,,1,,,,
98,PIPO,1,51.9,Y,1,,,,
99,PSME,1,26.3,,1,,,,
1,PIPO,2,40.1,Y,1,,,,
10,PIPO,2,28.9,,1,,,,
11,PIPO,2,26.4,,1,,,,
12,PSME,2,49.5,Y,5,,,,
13,PIPO,2,38.4,Y,5,,,,
14,PIPO,2,49.5,Y,5,,,,
15,PIPO,2,35.6,Y,5,,,,
16,PIPO,2,50,Y,1,,,,
17,PIPO,2,39.1,,1,,,,
18,PIPO,2,41.4,Y,1,,,,
19,PIPO,2,38,Y,5,,,,
2,PIPO,2,33.8,Y,1,,,,
21,PIPO,2,54,Y,5,,,,
22,PIPO,2,39.7,Y,1,,,,
23,PIPO,2,34.9,Y,1,,,,
24,PIPO,2,51.5,Y,1,,,,
25,PIPO,2,50.1,Y,1,thinning crown,,,
26,PIPO,2,28.9,Y,1,,,,
27,PIPO,2,33.5,Y,1,,,,
28,PIPO,2,37.5,Y,1,,,,
29,PSME,2,2.5,,5,,,,
3,PIPO,2,51.5,Y,1,,,,
4,PIPO,2,34.1,,5,,,,
5,PIPO,2,54,Y,1,,,,
55,PIPO,2,35.5,Y,1,,,,
56,QUGA,2,5.6,,1,,,,
57,QUGA,2,3.5,,1,dead branch,,,
58,QUGA,2,4.3,,1,,,,
59,QUGA,2,4.6,,1,,,,
6,QUGA,2,7.2,,1,,,,
60,PIST,2,22.3,,1,,,,
61,PIST,2,31.7,,1,tip needle mortality,,,
62,PIPO,2,28.4,,1,,,,
63,PIPO,2,43,Y,5,,,,
64,PIPO,2,2,,1,,,,
65,PIPO,2,34.4,Y,5,,,,
66,PIPO,2,43.6,Y,5,,,,
67,PIPO,2,36.7,Y,5,,,,
68,PIPO,2,27.3,Y,1,,,,
69,PIPO,2,31.1,Y,1,,,,
7,PIPO,2,43.8,Y,1,,,,
70,PIPO,2,29.3,Y,1,,,,
71,PIPO,2,58.9,Y,1,,,,
72,QUGA,2,3.1,,5,,,,
73,PIPO,2,33.7,,1,,,,
74,PIPO,2,47.4,Y,1,,,,
75,PIPO,2,41.5,Y,1,,,,
76,PIPO,2,29.7,Y,1,,,,
77,PIPO,2,40.9,Y,1,,,,
78,PIPO,2,40.7,Y,1,,,,
79,PIPO,2,35.6,Y,1,,,,
8,ABCO,2,43.5,,1,,,,
80,PIPO,2,38.5,Y,1,,,,
81,PIST,2,24.1,,1,end needle kills,,,
82,PIPO,2,38.9,Y,1,,,,
83,PIPO,2,34.9,Y,1,,,,
84,PIPO,2,34.7,Y,1,,,,
85,PIPO,2,23.9,Y,1,,,,
86,PIPO,2,44,Y,1,lightning scar,,,
9,PIPO,2,28.3,,1,,,,
0,PIPO,3,32.7,,1,,,,
129,PIPO,3,22.2,,1,,,,
130,ABCO,3,61.7,Y,7,dead top (dalb?),,,
131,PIPO,3,31.3,,1,,,,
132,PIPO,3,34.2,,1,modern fs,,,
133,PIPO,3,10.3,,1,,,,
134,PIST,3,69.9,Y,1,thin crown,,,
135,PIPO,3,38.5,,1,modern fs,,,
136,PIPO,3,44.3,Y,1,,,,
137,PIPO,3,62.2,Y,5,,,,
138,ABCO,3,27.8,,1,,,,
139,ABCO,3,28.2,,1,,,,
140,PIST,3,41.2,,1,,,,
141,PIPO,3,37.1,,1,,,,
142,PIED,3,5.6,,1,modern fire scar,,,
143,PIPO,3,52.6,Y,1,"dying, og",,,
144,QUGA,3,1,,5,,,,
145,QUGA,3,4,,5,,,,
146,QUGA,3,2.5,,4,tag low,,,
147,PIST,3,28,,1,,,,
148,PIST,3,23.4,,1,,,,
149,PIPO,3,65.6,Y,1,,,,
150,PIST,3,43.4,Y,1,og?,,,
178,PIPO,3,33,Y,1,,,,
179,PIPO,3,39.9,Y,5,,,,
180,PIPO,3,25,,1,,,,
181,PSME,3,30.1,,5,,,,
182,PIPO,3,8.2,,1,,,,
183,PIPO,3,29.7,,1,,,,
184,PIPO,3,23.7,,1,,,,
185,PSME,3,28.5,,1,,,,
186,ABCO,3,43.7,Y,1,og?,,,
188,PIPO,3,59.2,Y,1,,,,
189,PIPO,3,49.6,Y,1,,,,
190,PIPO,3,31.7,Y,1,,,,
191,PIPO,3,53.8,Y,1,fs,,,
192,PIPO,3,49.5,Y,1,,,,
193,PIPO,3,41.6,Y,1,fs,,,
194,PIPO,3,48.8,Y,1,fs,,,
195,PIPO,3,60.1,Y,1,,,,
196,PSME,3,33.7,,1,,,,
197,PIST,3,28.8,,5,,,,
198,QUGA,3,7.7,,1,,,,
199,QUGA,3,3.3,,5,,,,
20,PIPO,3,27.5,,1,,,,
200,QUGA,3,3,,5,loose tag,,,
224,PIPO,3,49.4,Y,1,,,,
225,PIPO,3,51,Y,1,,,,
226,PIPO,3,23.7,,1,,,,
227,QUGA,3,6.5,,5,,,,
228,QUGA,3,8.5,,5,,,,
230,QUGA,3,9.5,,1,,,,
231,QUGA,3,11,,1,,,,
233,QUGA,3,2.5,,1,,,,
234,QUGA,3,1,,5,,,,
235,QUGA,3,3.8,,1,,,,
101,PIPO,4,41.7,Y,5,lightning scar,,,
102,PIPO,4,27.3,Y,1,"lightning scar, broken top",,,
103,PIPO,4,48.8,Y,1,modern fire scar,,,
104,PIPO,4,24,Y,1,,,,
105,PIPO,4,27.8,Y,1,,,,
106,PIPO,4,21.4,Y,1,modern fire scar,,,
107,PIPO,4,42,Y,1,,,,
108,PIPO,4,27.8,,1,modern fs,,,
109,PIST,4,34.4,,1,modern fs,,,
110,PIPO,4,5.5,,1,,,,
111,PIPO,4,53.4,Y,1,,,,
112,PIPO,4,52,Y,5,,,,
113,QUGA,4,3.6,,5,,,,
114,PIPO,4,29.2,Y,1,,,,
115,PIPO,4,25.4,Y,7,"lightning scar, dead top (check if dalb)",,,
116,PIPO,4,50.5,Y,1,,,,
117,PIPO,4,33.4,Y,5,,,,
118,PIPO,4,51.3,Y,5,,,,
119,PIPO,4,61.3,Y,1,double fire scar,,,
120,PIPO,4,51,Y,1,modern fire scar,,,
121,PIPO,4,52.8,Y,1,,,,
122,PIPO,4,32.4,Y,1,,,,
123,PIPO,4,50.9,Y,1,,,,
124,PSME,4,57,Y,5,witches brooms,,,
125,PIPO,4,40.2,Y,1,modern fs,,,
126,PIPO,4,52.4,Y,5,"beetles yellow needles , modern fire scar",,,
127,PIPO,4,40.3,Y,1,,,,
151,PSME,4,28.5,,1,,,,
152,PIPO,4,46.5,Y,1,,,,
153,PIPO,4,40.5,Y,5,,,,
154,PIPO,4,41.3,Y,1,,,,
155,PIPO,4,46.5,Y,1,,,,
156,PIPO,4,31.7,Y,1,check live/dead at veg,,,
157,PIPO,4,37.1,Y,1,,,,
158,PIPO,4,36.2,Y,1,,,,
159,PIPO,4,40.5,Y,1,,,,
160,PIPO,4,68.2,Y,1,,,,
161,PIPO,4,53,Y,1,,,,
162,PIPO,4,48.5,Y,1,,,,
163,PSME,4,27.9,,1,,,,
164,PIPO,4,39.9,Y,1,,,,
165,PSME,4,41.8,,1,,,,
166,PIPO,4,46,Y,1,,,,
167,PIPO,4,32.4,,1,,,,
168,PIPO,4,25,,1,,,,
169,ABCO,4,24.7,,1,,,,
170,ABCO,4,32.5,,1,,,,
171,PIPO,4,48.1,Y,1,,,,
172,PIPO,4,25.9,,1,,,,
173,PIPO,4,33.5,,1,,,,
174,PIPO,4,30.3,Y,1,,,,
175,PIPO,4,68.1,Y,1,,,,
176,PIPO,4,48.1,Y,5,,,,
177,PIPO,4,49.5,Y,5,fs,,,
232,QUGA,4,1.7,,1,,,,
